entrez_id	obsolete_entrez_id	obsolete_symbol
-	4466	MSK31
-	4467	MSK32
-	4468	MSK33
-	4469	MSK34
-	4470	MSK35
-	4471	MSK36
-	4472	MSK37
-	4473	MSK38
4684	4474	MSK39
-	4475	MSK40
-	4476	MSK41
-	4480	MSNL2
64374	4483	MSS
7046	4484	MSSE
441771	4491	MT1CP
326343	4492	MT1DP
644314	4497	MT1I
7491	4506	MTACR1
645652	4529	MT1XP1
-	4530	MTL2
140851	4532	MTL4
727897	4587	MUC5B
100129528	4590	MUC8
3662	4592	MUM1
-	4596	MUW53
-	4612	MYCLK1
-	4614	MYCP
84176	4623	MYH5~withdrawn
-	4630	MYHK
4640	4631	MYHL
-	4639	MYLL1
51168	4652	MYO15
-	4655	MYSA
23040	4662	MYT1L
7504	4663	NA
689	4667	NACB
9131	4672	NAMSD
80025	4679	NBIA1
654817	4687	LOC4687
4704	4721	NDUFS2L
374291	4727	NDUFS7
121441	4732	NEDD1
3301	4737	NEDD7
114991	4740	NEDD10
5630	4742	NEF4
9118	4743	NEF5
339396	4746	NEFHL
-	4748	NEFLL1
-	4749	NEFLL2
7170	4754	NEM1~withdrawn
4703	4755	NEM2
780	4757	NEP
401007	4765	NF1L2
-	4766	NF1L3
100419029	4767	NF1L4
644637	4769	NF1L6
440225	4770	NF1P1
-	4777	NFATC5
-	4785	NFIXL1
-	4786	NFIXL2
-	4787	NFIXL3
-	4788	NFIXL4
-	4789	NFIXL5
6551	4797	NHE3P
-	4805	NHCP1
-	4806	NHCP2
-	4816	NIP1L
159296	4822	NKX2C
644524	4823	NKX2-4
1728	4834	NMOR1
-	4840	NOL2
201288	4844	NOS2B
645740	4845	NOS2C
23019	4847	CNOT1
4858	4859	NOVA3
1184	4865	NPHL1
1184	4866	NPHL2
100128903	4873	NPM1P4
10831	4876	NPM1P7
-	4877	NT3
6556	4890	NRAMP1
-	4894	NRASL1
-	4895	NRASL2
-	4896	NRASL3
5781	4903	NS1
5422	4906	NSX
780	4918	NTRK4
26232	4930	OCP1
90167	4932	NYS1
-	4944	OATL2
627	4949	OCD1
100506658	4950	OCLN
130497	4955	ODD
2492	4959	ODG1
1896	4960	ODT1
-	4961	OED
-	4962	OFC#
8481	4966	OFD1
1277	4970	OI4
682	4971	OK
-	4972	OLFR@
2316	4979	OPD1
2316	4980	OPD2
4041	4984	OPPG
10280	4989	OPRS1
390756	4996	OR3A4
390756	4997	OR3A5P
94	5006	ORW2
340990	5011	OTOG
593	5014	OVD1A
53947	5022	P1
-	5035	P200
389884	5038	PA2G4P
8106	5039	PABP2
285314	5040	PABPL1
341315	5041	PABPL2
-	5056	SERPINB2L1
-	5057	SERPINB2L2
10606	5059	PAICS
780814	5060	PAICSP1
780815	5061	PAICSP2
1075	5065	PALS
6622	5070	PARK1
-	5084	PBG1
4299	5085	PBM1
3815	5086	PBT
-	5102	PCH2
3872	5103	PCHC1
5589	5107	PCLD
-	5109	PIN1L2
-	5112	PCNAL
-	5113	PCNAP
359806	5114	PCNAP1
359805	5115	PCNAP2
649	5117	PCOLC
5045	5123	PCSK3
54760	5124	PCSK4
1594	5135	PDDR
56652	5180	PEO1
55748	5181	PEPA
51056	5186	PEPS
5199	5200	PFD
8647	5206	PFIC2
5213	5215	PFKX
-	5219	PGA@
643834	5220	PGA3
643847	5221	PGA4
342705	5227	PGDL1
6392	5234	PGL1
54949	5235	PGL2
55276	5237	PGM2
283871	5240	PGP
8905	5242	MRXS5
100418837	5247	PHBP2
391044	5248	PHBP3
100418774	5249	PHBP4
5256	5254	PHK
6658	5263	PHP
5177	5285	PIH
390502	5299	SERPINA2
-	5302	PIN3
729330	5323	OC90
285189	5344	PLGLA1
7305	5353	PLOSL
55558	5363	PLXNA3
390831	5374	PMM2P1
-	5377	PMPS
5387	5381	PMS2L3
5379	5384	PMS2L6
5379	5385	PMS2L7
5379	5386	PMS2L8
100288713	5388	PMS2L10
441263	5389	PMS2L11
64599	5390	PERQ1
100132832	5391	PMS2P9
100101440	5392	PMS2LP2
-	5397	PNI1
-	5398	PNI2
-	5399	PNIA1
-	5400	PNIA2
-	5401	PNIA3
-	5402	PNIA4
-	5403	PNIA5
-	5404	PNIA6
25953	5405	PNKD
-	5410	PNMTP1
-	5415	PNY1
-	5416	PNY2
-	5417	PNY3
-	5418	PNY4
-	5419	PNY5
2332	5421	POF1
3145	5448	PORC
642559	5461	POU5F1P3
57335	5466	PPARAL
100289640	5472	PPATP1
728045	5474	PPBPL1
659	5477	PPH1
51645	5482	PPIL1
319128	5484	PPIAP12
341457	5490	PPIAP8
8456	5492	RONU
54704	5497	PPM2C
84152	5503	PPP1R1B
-	5505	PPP1R2P1
84687	5508	PPP1R9B
6041	5513	HPC1
-	5541	PR@
653247	5543	PRB2
3087	5556	PRHX
-	5559	PRIM2B
8165	5560	PRKA1
445815	5561	PRKA2
51422	5572	PRKAG2
441733	5614	PRKXP1
4000	5622	PRO1
221823	5632	PRPS1L1
100421295	5633	PRPS1L2
-	5637	PRR1
5119	5642	PRSM1
-	5643	PRSM2
5646	5647	PRSS4
7068	5656	PRTH
170302	5658	PRTS
1311	5659	PSACH
4250	5661	PSBP1
-	5665	PSF1
-	5666	PSF2
-	5667	PSF3
-	5668	PSF4
3107	5674	PSORS1
440533	5677	PSG8
653492	5679	PSG10
9861	5712	PSMD6
79092	5722	PSORS2
2185	5748	PTK2B
780	5749	PTK3A
-	5750	PTK3B
7294	5751	PTK4
2444	5752	PTK5
4486	5755	PTK8
150928	5762	PTMAP5
8073	5766	PTP4A
646981	5772	PTPN2P1
646758	5773	PTPN2P2
84867	5776	PTPN5
26191	5779	PTPN8
-	5785	PTPN17
-	5807	PUAB1
-	5808	PUAB2
-	5809	PUAB3
-	5811	PUAB4
-	5812	PUAB5
-	5815	PUT1
6638	5821	PWCR
368	5823	PXE
-	5835	PYGBL
-	5838	PYHG1
-	5839	PYHG2
-	5840	PYHG3
-	5841	PYHG4
-	5842	PYHG6
-	5843	PYHG7
-	5844	PYHG8
-	5845	PYHG9
-	5846	PYHG10
-	5847	PYHG11
-	5848	PYHG12
-	5849	PYHG14
-	5850	PYHG15
-	5851	PYHG16
-	5852	PYHG17
-	5853	PYHG18
-	5854	PYHG19
-	5855	PYHG20
-	5856	PYHG21
-	5857	PYHG22
2237	5882	RAD2
348910	5895	RAF1P1
727851	5904	RGPD8
-	5941	RBMY1A2
100287769	5943	RBMY1G
375850	5946	RBMY2BP
157570	5951	RBS~withdrawn
7428	5952	RCA1
114625	5958	RD
6510	5960	RDRC
643244	5963	RDXP1
10084	5974	RENS1
-	5975	RENS2
3640	6020	RLNL
54714	6021	ACHM1
-	6024	RMSA1
-	6025	RN5S1@
-	6026	RN5S2@
-	6027	RN5S3@
